variant,success_auc,success_brier,xt_rmse,xt_r2,run_rmse_m,run_hit_rate_3m,success2_auc,success2_brier,receiver_top1,receiver_top3
gat_base,0.7150342154083097,0.20986849069595337,0.06528423996118402,0.008213996887207031,6.374728308189731,0.2442827442827443,0.7151239105323952,0.20990607142448425,0.3928794503435353,0.7607745159275453
gat_hidden64,0.7071815166789176,0.21236170828342438,0.06546588152835586,0.002687394618988037,6.429771385627137,0.23232848232848233,0.7072733994889566,0.21231259405612946,0.3603997501561524,0.7270455965021861
gat_reflect,0.7220118397563793,0.20792730152606964,0.06529192869754187,0.00798046588897705,6.346589177856796,0.24220374220374222,0.7222601421120796,0.20786744356155396,0.3947532792004997,0.7632729544034978
gat_no_receiver,0.7097618922608422,0.21161341667175293,0.06540068296675032,0.00467294454574585,6.373262656227754,0.24324324324324326,,,,
gat_success_only,0.7149117049949245,0.2100962996482849,0.13373302065616685,-3.1617746353149414,22.307009972479733,0.0,,,,
gat_no_edge_features,0.708016118870104,0.21192291378974915,0.0654340678499536,0.0036565065383911133,6.372942201673903,0.23700623700623702,0.7079439252336449,0.2119937688112259,0.38663335415365396,0.7564022485946283
gat_no_globals,0.70405640729462,0.21361884474754333,0.06539858249501952,0.004736840724945068,6.371617564347762,0.23804573804573806,0.7040990671707095,0.2136295884847641,0.34415990006246094,0.7189256714553404
gat_no_velocity,0.7110734099898491,0.2106839269399643,0.06527984599096028,0.00834745168685913,6.352843632013623,0.24116424116424118,0.7111160698659387,0.21075020730495453,0.3966271080574641,0.7557776389756402
transformer_base,0.7493163481395919,0.2005186378955841,0.06529815462670083,0.00779116153717041,6.259453609269085,0.24584199584199584,,,,
transformer_no_velocity,0.7449912930099059,0.20161138474941254,0.06514613070682897,0.012405872344970703,6.285078108778281,0.24844074844074845,,,,
gat_run_alt,0.7068251647791818,0.2131378948688507,0.06730560703391128,0.005711376667022705,19.950225640822612,0.017489069331667707,0.7066147410522452,0.21322502195835114,0.37663960024984383,0.7414116177389132
