model,slice,n,success_auc,success_brier,xt_rmse,xt_r2,run_rmse_m,run_hit_rate_3m
GAT,all,1924,0.73290432811789,0.20486804842948914,0.0650840139987396,0.01428830623626709,6.332068496778532,0.24376299376299376
GAT,open_play,1924,0.73290432811789,0.20486804842948914,0.0650840139987396,0.01428830623626709,6.332068496778532,0.24376299376299376
GAT,counter,49,0.6897435897435897,0.1506124585866928,0.0725930310618927,-0.032855987548828125,6.97454703264831,0.30612244897959184
GAT,carrier_DEF,503,0.7290766550522647,0.1920091062784195,0.06482737432087986,0.008016586303710938,6.156629980431724,0.27435387673956263
GAT,carrier_MID,651,0.7206821014465385,0.21183305978775024,0.06616208474134148,0.009610652923583984,6.108516526123834,0.24731182795698925
GAT,carrier_FWD,770,0.7313535911602209,0.207379549741745,0.06432793119256339,0.01905733346939087,6.624021627147224,0.22077922077922077
Transformer,all,1924,0.7322677115054779,0.2049233615398407,0.06561746979834503,-0.0019365549087524414,6.328438876593757,0.24740124740124741
Transformer,open_play,1924,0.7322677115054779,0.2049233615398407,0.06561746979834503,-0.0019365549087524414,6.328438876593757,0.24740124740124741
Transformer,counter,49,0.6692307692307692,0.17683689296245575,0.07377360831344626,-0.06672370433807373,7.238300633856029,0.22448979591836735
Transformer,carrier_DEF,503,0.7351393728222997,0.1889481395483017,0.06500859835841599,0.00246274471282959,6.173802210764334,0.29025844930417494
Transformer,carrier_MID,651,0.7056690712694036,0.21514087915420532,0.06622192452005704,0.007818341255187988,6.1108147295127715,0.24731182795698925
Transformer,carrier_FWD,770,0.7352602643267252,0.20672067999839783,0.06549986946956536,-0.017010092735290527,6.603088557162533,0.21948051948051947
