team,n_attack,attack_success,attack_dxt,option_richness,counter_share,realised_success,n_defend,solidity,recovery_rate,press_decisiveness,line_height,lane_suppression
Belgium Women's,57,0.5222,0.0358,1.3787,0.0175,0.5614,125.0,0.4938,0.472,0.1702,94.5874,0.0469
WNT Finland,58,0.5215,0.0331,1.5177,0.0172,0.4138,95.0,0.5214,0.4947,0.1606,94.5389,0.0477
Austria Women's,30,0.5283,0.0328,1.4535,0.0667,0.7,44.0,0.5038,0.5455,0.177,91.2115,0.0515
Iran,34,0.5144,0.0326,1.4822,0.0588,0.5294,46.0,0.58,0.4348,0.1575,93.3407,0.0463
Republic of Ireland Women's,34,0.5129,0.0318,1.3404,0.0294,0.3235,39.0,0.623,0.5385,0.1613,89.1251,0.0434
Albania,31,0.4729,0.0317,1.581,0.0323,0.4839,84.0,0.5743,0.4048,0.1394,95.723,0.0413
Uruguay,35,0.5089,0.0316,1.5998,0.0,0.5429,39.0,0.5712,0.4359,0.1632,94.0324,0.0464
Inter Miami,44,0.4821,0.0316,1.4714,0.0227,0.3864,34.0,0.5785,0.5,0.1723,93.8986,0.0474
United States Women's,77,0.5105,0.0315,1.5488,0.0649,0.5195,29.0,0.5822,0.4483,0.1761,92.7229,0.0458
Saudi Arabia,37,0.4747,0.0314,1.4956,0.0,0.4595,26.0,0.5179,0.4615,0.1762,89.3731,0.0566
Tunisia,33,0.4987,0.0314,1.4636,0.0909,0.4545,44.0,0.5456,0.4318,0.1663,92.9816,0.0484
Slovakia,75,0.4599,0.0312,1.6812,0.0,0.4533,114.0,0.5826,0.4211,0.148,92.8121,0.044
Bayer Leverkusen,546,0.4774,0.031,1.7449,0.033,0.4835,312.0,0.5326,0.5032,0.1535,94.2102,0.0459
Germany,247,0.477,0.0309,1.6682,0.0243,0.4899,114.0,0.5506,0.4649,0.1664,92.4808,0.0475
Ukraine,111,0.4762,0.0309,1.5928,0.036,0.5135,130.0,0.545,0.3692,0.1551,95.3574,0.0478
Norway Women's,127,0.4755,0.0308,1.5765,0.0236,0.5197,130.0,0.4964,0.4769,0.1588,95.9186,0.0496
